Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
6,1,404,452,512,452,436,406,406,362,510,360,317,342,304,417,304,390,315,515,335,429,447,479
6,0,381,350,395,160,359,312,162,380,288,355,377,395,194,472,370,591,376,376,324,350,198,332
6,0,369,350,270,310,472,461,338,386,582,124,504,282,252,173,97,511,349,309,448,333,398,371
7,1,427,450,603,586,311,297,377,335,492,518,469,585,524,456,324,360,317,453,257,563,448,497
6,1,388,471,220,527,324,524,351,325,349,417,366,480,382,428,536,353,265,229,371,599,436,602
6,1,395,454,243,440,200,363,429,480,532,328,563,419,356,456,485,381,516,425,309,557,315,409
6,1,403,451,267,525,339,378,395,533,309,432,450,408,514,587,356,603,445,569,588,395,240,369
7,1,402,450,496,287,581,342,266,439,509,480,372,223,460,684,394,369,229,524,341,474,529,388
6,1,405,453,463,411,335,414,380,379,391,536,485,456,391,489,563,362,256,634,580,430,511,624
7,0,382,307,340,281,365,187,268,331,479,346,360,348,496,435,520,174,262,301,407,97,639,193
6,1,404,452,221,657,278,410,527,659,462,233,594,338,405,454,394,349,368,411,469,572,515,476
7,1,413,450,499,440,557,609,534,197,673,474,316,367,308,391,381,349,293,319,307,379,574,488
6,0,387,350,449,419,274,421,433,476,530,160,288,497,439,395,335,393,277,517,300,411,333,186
6,1,407,456,495,385,249,323,447,427,474,523,441,511,408,566,249,427,531,433,499,538,441,300
6,1,396,452,295,408,497,453,324,423,405,289,151,314,458,398,366,308,389,393,480,368,344,339
7,1,425,450,437,385,448,454,245,425,313,534,471,459,514,652,528,447,432,492,464,542,426,346
6,1,394,455,304,443,276,519,278,535,360,373,307,430,462,398,282,276,413,509,318,467,388,464
7,1,387,450,520,466,321,388,326,472,177,315,274,226,339,557,348,526,322,446,535,556,534,549
7,1,435,450,403,664,409,549,422,541,461,385,613,525,424,627,486,475,370,377,500,520,446,501
6,0,359,350,440,196,459,361,256,295,273,319,427,256,430,476,662,259,203,372,467,484,355,314
6,0,419,350,389,286,433,241,440,241,576,399,377,438,364,474,456,318,585,392,328,515,391,456
7,0,392,341,458,145,358,542,512,264,412,243,387,242,302,573,476,480,263,256,411,482,385,385
7,0,399,350,434,339,428,384,492,182,375,302,280,474,466,391,476,313,406,351,560,234,493,268
6,0,395,350,423,298,421,396,379,423,603,250,292,340,295,432,141,370,367,521,576,400,409,288
6,0,413,350,526,230,343,118,329,416,505,412,329,309,315,220,410,298,396,309,510,468,397,214
