Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
6,0,379,350,505,390,413,257,342,344,376,363,314,297,246,74,541,274,442,194,383,218,515,460
7,0,407,343,512,400,517,317,452,424,526,347,258,341,423,338,381,380,499,207,271,238,416,454
7,0,405,347,517,424,258,362,236,364,408,394,493,461,506,445,189,175,606,315,418,361,376,206
7,1,438,450,482,415,447,398,587,300,139,398,341,457,507,428,519,468,524,318,441,380,318,530
7,0,406,345,266,368,463,287,420,347,386,335,422,475,536,364,396,274,467,337,385,546,548,405
7,1,353,450,222,405,408,590,391,505,362,372,471,575,260,502,365,764,544,359,414,431,345,471
7,1,407,450,399,567,529,301,496,390,334,484,328,319,571,359,384,509,398,497,590,537,285,318
6,0,416,350,441,397,346,472,533,309,302,375,332,416,354,251,361,291,661,275,502,155,435,245
7,0,395,346,457,437,466,375,412,428,535,149,406,344,508,331,506,243,330,316,561,414,367,264
6,1,385,482,444,543,357,468,142,468,336,488,361,446,465,469,316,468,168,432,379,617,487,414
6,1,399,450,266,417,341,470,442,424,654,367,449,268,479,408,282,326,487,483,495,438,405,548
6,1,394,455,389,497,375,477,391,538,260,640,255,413,411,504,338,372,418,468,324,340,513,271
7,1,388,450,436,440,452,405,376,474,404,386,338,693,338,512,393,314,405,490,272,457,221,502
6,0,432,350,539,122,566,282,363,263,469,368,295,282,481,394,552,435,399,295,293,177,467,215
6,1,395,454,365,554,431,506,456,413,450,278,419,466,422,557,352,416,264,265,438,449,368,366
7,1,440,450,386,523,543,423,376,507,415,633,279,392,337,510,399,472,516,393,422,513,461,605
6,1,390,464,325,427,470,309,407,476,537,643,245,430,272,412,360,578,319,440,402,509,445,518
6,0,370,350,472,320,457,326,227,385,262,285,402,261,298,521,364,284,192,353,477,474,496,239
7,1,351,450,282,537,414,367,337,421,356,506,204,615,248,135,262,487,485,247,262,305,235,490
7,0,410,337,481,328,502,411,561,231,457,372,436,638,334,232,537,383,535,376,519,264,416,364
6,0,363,350,508,396,386,230,428,345,275,410,347,259,209,313,323,548,323,224,377,389,456,387
6,0,353,350,278,495,497,456,323,246,409,226,263,280,356,312,469,513,344,352,364,395,323,342
7,0,396,347,396,409,520,222,441,363,477,373,382,485,493,382,379,350,457,368,287,361,503,339
7,0,401,350,570,304,499,451,349,298,398,335,415,426,481,469,435,357,187,335,406,146,320,436
6,1,408,459,354,440,418,387,414,456,574,699,289,362,425,446,322,451,439,405,404,439,175,543
7,0,386,325,219,397,267,392,386,522,413,370,505,411,305,452,262,292,403,537,358,310,328,261
6,0,413,350,437,384,488,441,373,362,262,266,149,569,262,165,384,274,535,200,315,370,389,390
6,1,409,460,449,346,236,390,335,475,557,492,593,352,169,444,342,512,363,501,504,520,505,500
7,1,429,450,511,560,455,281,362,569,515,401,382,455,488,342,405,423,392,287,304,461,587,357
7,1,384,450,517,600,600,405,229,435,593,418,468,551,275,586,360,456,418,507,479,344,662,445
