Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
6,1,388,468,344,432,322,760,400,487,289,402,230,316,262,516,441,382,380,368,393,593,466,483
7,0,389,334,239,179,488,285,376,383,257,276,572,241,315,435,539,260,254,283,338,480,438,313
7,0,396,348,261,390,383,507,482,394,516,342,435,250,333,263,447,526,520,452,168,279,428,432
6,0,448,350,262,398,366,423,399,417,543,376,557,386,403,459,387,241,234,403,359,442,414,484
7,1,401,450,492,500,415,503,357,511,407,463,385,487,366,312,370,552,367,401,103,398,479,466
7,1,415,450,335,331,303,639,394,577,144,424,493,553,322,646,385,458,448,582,481,356,436,417
7,0,384,314,356,486,329,296,362,184,416,210,452,381,344,175,616,336,356,270,306,191,115,138
6,0,383,350,407,200,336,306,434,419,469,350,442,342,272,420,442,377,395,258,282,341,566,266
7,0,417,310,341,292,560,438,505,179,330,424,400,378,349,258,344,383,395,179,345,421,393,249
6,1,418,493,193,534,537,439,393,611,435,501,430,548,359,388,412,620,351,618,565,535,392,384
6,1,415,481,494,531,443,606,327,512,390,434,257,728,327,437,435,426,266,554,282,416,287,502
7,0,382,306,389,283,519,295,582,217,532,553,508,294,391,245,476,254,299,243,387,429,508,217
7,1,378,450,327,366,462,492,516,563,352,509,253,233,407,537,421,418,367,517,401,482,553,374
7,1,436,450,359,336,217,290,368,470,460,496,490,533,374,364,472,636,388,512,514,522,404,369
7,0,386,323,365,216,368,370,206,390,210,409,491,376,312,267,208,247,481,321,431,406,243,220
6,0,392,350,556,350,511,295,393,238,381,323,445,459,262,191,392,424,421,492,396,480,404,185
6,0,394,350,248,306,302,361,502,362,317,193,363,303,239,342,452,329,484,290,288,400,552,470
6,0,435,350,504,389,585,385,336,378,570,268,416,348,525,393,396,441,360,270,618,310,329,443
6,0,412,350,353,279,433,310,350,451,531,410,265,179,414,462,356,473,223,402,498,195,251,410
6,0,450,350,353,380,262,387,388,165,330,471,310,482,427,312,413,290,522,175,491,424,429,422
6,1,401,450,311,501,501,473,395,602,391,274,389,388,322,447,291,318,490,315,480,395,505,514
6,0,401,350,421,400,329,417,562,467,318,355,273,269,491,346,178,424,525,485,257,289,525,289
7,0,407,343,179,335,507,469,381,335,401,367,442,92,260,300,463,345,426,314,267,296,474,255
7,0,410,337,459,245,350,276,428,379,558,320,317,115,389,500,359,372,442,198,322,301,256,484
7,0,402,349,323,182,476,391,424,446,466,344,347,224,304,401,526,450,305,406,390,288,388,427
7,1,365,450,464,353,343,294,472,390,453,463,250,492,273,578,475,356,309,543,324,589,339,435
7,1,371,450,503,516,608,381,318,496,247,562,391,507,501,497,258,523,328,346,282,412,352,577
7,0,403,349,300,291,455,519,440,278,671,306,498,473,356,133,249,152,410,311,433,375,468,370
7,0,384,313,477,223,451,386,424,236,370,183,331,279,360,125,87,409,499,253,374,404,187,314
7,1,418,450,356,376,403,332,394,459,431,682,453,489,235,251,405,442,213,157,631,447,440,333
7,0,393,343,237,290,476,502,423,331,443,428,239,230,364,650,267,257,365,461,593,373,596,277
7,0,397,349,323,309,480,433,368,349,431,358,447,380,583,298,564,440,235,582,156,535,417,500
7,0,395,346,165,342,465,363,418,291,274,486,407,278,240,235,542,159,339,390,454,286,215,261
7,0,418,306,407,374,493,256,386,436,391,393,359,449,216,234,502,270,346,278,404,225,456,373
7,0,417,311,419,234,382,282,507,340,291,369,568,357,426,331,549,427,393,426,235,222,328,306
6,1,394,454,610,492,431,465,492,602,461,484,504,561,367,416,368,487,352,339,345,412,398,472
6,1,393,457,586,381,432,546,329,584,385,331,467,569,310,526,525,597,421,518,420,429,325,463
7,0,415,320,426,338,482,329,365,124,426,321,335,354,361,214,383,291,390,207,422,283,424,541
7,0,389,334,459,320,424,112,517,259,412,515,547,349,473,333,337,223,300,364,250,225,447,324
6,0,434,350,438,504,407,472,560,318,379,346,338,416,389,482,450,306,215,538,382,375,269,279
6,1,417,491,447,487,375,530,310,631,208,405,264,636,408,250,276,513,271,405,561,549,243,276
6,1,383,489,227,431,589,335,563,412,274,455,433,436,388,504,249,551,339,478,284,441,348,271
6,0,356,350,404,258,483,381,346,408,510,213,462,231,418,414,215,294,257,315,504,412,321,407
6,0,399,350,335,277,292,263,452,441,440,429,364,338,282,314,319,439,368,254,370,547,271,490
7,0,414,322,149,478,383,189,301,247,467,374,451,296,245,264,380,363,536,290,373,198,545,341
6,0,450,350,335,369,396,334,533,264,334,340,409,276,376,300,433,88,398,317,356,361,247,458
7,1,397,450,545,429,549,501,314,460,432,527,394,497,377,434,304,420,429,337,417,474,248,562
6,0,423,350,325,252,380,373,452,379,554,186,378,367,580,511,666,306,252,337,389,473,493,194
7,1,412,450,491,491,349,459,624,514,225,407,523,414,421,449,424,344,515,562,499,500,338,528
6,1,404,452,407,329,514,413,315,544,377,282,556,438,493,517,173,277,534,605,583,231,406,538
7,0,388,329,364,275,427,304,458,131,127,267,489,299,495,274,438,183,354,266,400,137,345,303
6,1,412,470,347,422,392,550,569,538,332,396,371,501,465,592,264,378,384,549,531,550,392,407
6,1,384,484,523,351,487,418,514,482,478,459,465,624,295,633,377,388,686,455,389,396,422,451
6,0,417,350,332,336,642,379,437,271,314,336,477,248,534,244,423,509,403,436,485,466,402,276
6,0,393,350,215,444,371,444,524,309,487,159,404,300,414,504,281,434,269,334,246,376,291,307
7,0,411,334,383,537,295,617,342,239,275,223,496,412,545,405,451,341,452,470,394,351,334,254
6,1,407,457,377,510,459,365,338,482,349,423,409,397,397,445,551,488,516,612,393,603,484,455
7,1,393,450,218,638,562,656,276,551,463,298,412,337,636,410,319,326,353,330,411,488,418,287
7,0,406,345,370,541,408,388,470,382,470,271,333,342,403,297,490,339,553,284,199,302,357,423
6,1,414,478,425,507,277,288,527,527,338,523,401,341,458,460,308,548,428,544,195,561,415,445
6,0,440,350,315,341,459,286,486,569,404,365,418,423,435,388,443,422,525,237,417,251,583,273
7,1,361,450,507,320,170,461,440,540,398,345,476,540,355,380,377,428,348,266,355,561,341,468
6,0,423,350,510,365,621,342,382,398,338,441,525,480,462,272,612,246,214,392,546,288,376,465
6,1,384,486,281,350,393,549,301,440,407,428,342,704,419,664,460,643,334,448,423,702,424,476
6,0,427,350,465,397,389,449,280,89,379,242,492,298,346,255,573,321,555,435,437,499,480,308
7,1,435,450,568,469,399,602,432,414,416,449,263,501,493,426,325,563,453,351,422,487,383,469
7,1,391,450,426,241,446,468,435,287,245,372,525,505,306,425,310,475,488,424,393,492,489,521
6,0,434,350,543,263,580,293,481,517,445,421,467,238,602,353,550,354,594,290,447,518,412,307
7,1,366,450,332,425,453,380,140,478,332,557,566,489,534,431,558,376,317,478,358,397,358,535
7,1,405,450,532,428,408,563,398,356,427,416,616,378,377,501,258,559,295,567,386,393,428,393
6,1,410,465,319,393,483,456,324,409,375,485,434,488,359,379,407,369,452,453,430,203,338,503
7,0,391,338,266,366,352,340,401,334,337,400,471,246,392,456,493,360,373,367,558,359,308,386
7,0,394,344,445,351,511,438,316,322,261,108,389,414,321,414,292,93,389,257,258,419,356,364
6,1,403,452,478,599,327,528,357,500,425,521,413,364,456,410,533,429,458,406,424,542,454,652
6,1,406,454,641,510,269,437,619,491,539,461,359,426,362,485,437,485,498,317,412,438,327,440
7,0,384,316,292,242,402,427,328,155,415,451,449,395,308,259,434,153,404,490,487,138,399,145
6,1,418,493,363,430,467,442,541,522,477,431,464,571,522,419,281,435,488,444,231,455,558,564
6,1,412,471,428,525,529,596,324,472,318,484,412,509,275,253,218,496,358,471,434,533,421,382
6,0,362,350,385,547,64,463,189,174,345,351,389,498,268,214,260,326,298,138,416,297,419,483
7,0,382,307,205,305,284,296,371,64,389,173,411,262,434,223,371,459,277,268,410,360,461,361
6,0,364,350,389,266,324,395,428,380,627,345,428,407,168,204,363,238,415,233,438,368,392,425
6,0,379,350,297,339,320,281,417,174,432,315,420,218,515,472,506,377,454,554,290,485,405,409
7,0,394,344,403,277,162,481,472,381,478,343,281,345,330,400,474,261,293,483,502,261,469,409
6,0,366,350,428,411,412,435,347,283,481,301,477,245,300,374,433,392,291,621,533,457,355,366
6,0,398,350,526,190,392,341,395,167,528,471,442,438,315,436,273,492,405,497,493,422,445,377
7,0,403,349,497,498,457,144,518,510,196,402,281,417,467,330,374,332,429,252,569,325,558,474
7,0,394,345,224,164,357,314,411,312,355,189,472,412,412,235,268,363,289,329,403,364,622,297
7,1,403,450,147,391,481,455,450,600,404,394,527,254,347,439,485,414,370,623,422,295,332,337
7,1,391,450,437,479,326,489,463,274,244,433,261,354,471,550,226,466,380,355,486,332,397,290
6,1,393,456,488,435,448,507,440,673,370,437,272,453,329,472,418,482,246,421,169,361,375,669
6,0,417,350,507,305,422,398,252,420,376,308,544,322,647,381,373,397,281,370,393,437,329,283
6,1,413,474,411,444,466,393,408,440,348,249,365,429,605,413,275,597,383,395,367,471,411,381
6,0,367,350,441,171,421,353,517,379,488,473,501,387,237,266,241,392,201,436,310,299,334,368
6,0,412,350,535,521,125,134,338,464,417,341,301,427,495,509,310,276,227,453,276,241,543,379
6,1,403,451,249,532,491,489,269,499,440,455,512,314,373,238,406,374,523,336,421,476,356,585
7,1,376,450,484,575,454,582,546,328,415,374,291,718,524,529,297,407,520,448,324,429,337,497
6,1,410,464,535,588,415,470,518,636,277,440,416,344,535,417,468,617,339,343,418,499,510,547
7,1,421,450,407,638,414,514,618,587,291,498,490,436,184,344,528,348,290,364,302,512,428,452
7,0,399,350,238,317,564,417,324,339,159,267,385,387,449,548,423,195,441,431,336,172,555,432
6,0,374,350,465,418,440,338,518,395,289,553,416,371,454,231,379,356,327,213,417,395,374,415
7,1,434,450,497,405,294,567,562,504,422,643,452,510,381,645,346,375,529,413,542,414,426,444
7,0,390,336,418,391,179,374,201,400,374,337,274,355,384,213,478,248,378,296,463,385,596,277
6,1,405,453,415,546,493,508,447,252,403,383,362,451,443,291,368,429,551,62,431,371,663,342
7,1,438,450,269,629,741,261,387,278,271,389,418,503,515,515,621,419,394,247,407,561,526,539
7,1,373,450,159,416,210,544,463,530,374,438,281,447,364,408,433,406,279,507,476,464,426,442
7,0,385,317,344,367,438,207,180,215,398,419,396,299,445,534,213,286,455,154,320,435,332,204
7,0,393,343,477,257,453,258,621,377,427,235,367,341,336,290,479,312,388,324,434,335,386,499
6,1,411,467,150,457,518,534,438,428,449,515,397,510,210,461,331,296,314,336,362,461,343,548
6,1,388,470,370,429,385,513,475,421,380,558,536,504,200,447,421,446,583,546,274,517,401,557
6,0,427,350,409,326,431,346,556,376,523,373,534,363,319,370,395,230,572,312,509,348,458,410
7,0,391,340,593,274,596,395,427,410,249,238,365,302,387,263,422,484,506,354,213,320,295,361
7,0,386,323,459,425,288,269,417,194,510,367,440,405,363,331,405,280,212,240,451,292,403,222
6,1,407,456,653,421,352,453,345,577,334,382,505,296,385,327,599,444,349,441,381,699,403,518
6,1,393,457,318,527,489,404,432,514,371,419,277,465,340,428,537,434,386,561,424,433,482,506
6,0,411,350,492,291,444,426,418,418,347,297,384,472,410,262,386,409,201,422,415,379,465,298
7,0,405,347,391,362,319,559,401,320,377,247,419,333,405,441,392,516,479,264,512,280,550,218
6,0,410,350,494,342,299,550,347,605,421,307,479,200,374,273,489,399,438,425,310,351,500,382
7,1,398,450,346,523,385,550,287,347,466,466,421,550,442,631,412,283,367,718,408,333,451,410
7,0,408,340,455,446,395,546,345,247,470,333,381,259,514,353,342,299,476,338,320,343,325,409
6,0,440,350,689,396,534,246,479,286,442,486,409,462,461,418,528,367,540,404,342,387,257,377
7,0,398,350,446,202,451,407,323,445,521,202,603,223,338,173,457,422,523,374,446,262,429,233
6,1,417,490,315,377,556,589,366,457,350,524,464,604,436,521,365,474,326,445,408,483,586,417
6,0,351,350,270,457,369,181,513,347,195,368,293,395,345,424,178,320,280,289,392,209,470,284
6,0,431,350,279,361,335,294,472,160,376,455,77,414,491,516,552,375,418,263,391,312,347,360
6,1,413,473,367,361,335,539,243,470,458,443,417,742,400,233,339,288,313,590,310,341,549,541
7,1,424,450,439,401,552,496,568,404,294,605,449,387,597,513,583,401,461,470,442,408,365,496
7,0,416,314,315,343,526,331,312,89,586,295,489,324,480,391,368,112,345,347,513,296,386,291
7,1,369,450,417,455,392,604,363,266,519,440,432,569,603,626,504,264,384,300,239,423,232,481
7,0,385,318,495,253,589,251,299,224,308,390,335,135,326,327,406,443,249,338,402,169,328,304
