Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
7,1,409,450,426,506,351,643,408,227,412,396,394,424,478,299,342,495,214,528,450,366,444,366
6,1,392,458,408,445,498,460,396,545,354,488,461,304,425,430,430,438,393,462,623,543,400,452
6,0,409,350,543,443,474,345,322,397,355,248,521,418,388,369,324,420,337,512,447,491,423,358
7,0,400,350,570,312,406,259,290,417,440,315,542,306,429,330,410,180,182,404,387,526,637,484
6,1,399,450,359,551,211,460,473,426,337,493,548,408,444,441,413,410,356,567,406,627,572,330
6,1,414,476,515,438,411,479,383,490,451,399,466,449,323,533,459,652,422,585,499,375,483,400
7,1,427,450,276,573,463,497,444,618,355,451,353,385,410,344,506,453,312,471,360,288,375,456
6,1,406,456,283,381,312,562,444,499,486,478,594,366,260,525,409,607,417,434,441,408,420,402
6,1,395,453,301,375,519,563,326,252,505,428,405,354,415,525,399,358,551,309,440,338,502,393
7,1,365,450,457,437,390,465,383,342,641,438,330,498,102,588,443,500,374,326,421,540,356,610
7,1,388,450,410,404,151,496,272,457,320,482,495,200,395,490,581,280,281,409,392,436,528,439
6,1,417,491,468,668,623,441,398,488,391,397,343,425,609,433,156,425,284,502,355,520,506,660
6,0,442,350,468,353,401,506,407,552,506,240,347,452,629,517,368,333,533,302,496,407,355,302
6,1,398,450,439,432,274,155,224,523,513,567,449,426,314,256,461,520,365,404,508,357,322,462
7,1,421,450,447,493,423,469,333,481,302,356,402,535,382,670,427,482,350,324,285,511,435,404
7,1,404,450,431,416,448,429,384,317,339,352,494,407,477,381,494,515,460,534,485,660,240,531
7,1,401,450,484,459,379,414,553,501,335,598,380,578,501,741,570,377,406,500,361,272,247,396
7,1,364,450,322,370,285,477,403,512,434,345,383,473,357,518,535,570,147,476,378,430,405,535
7,0,401,350,428,289,223,286,327,568,502,334,370,120,409,514,381,366,463,424,420,319,344,485
7,1,368,450,414,531,245,458,248,382,354,492,207,534,149,494,424,388,593,520,285,496,312,548
7,1,429,450,376,511,355,320,304,343,587,464,362,326,365,394,680,597,337,495,341,425,485,465
7,0,416,314,589,457,465,442,364,80,570,369,306,379,477,333,378,416,487,283,344,255,392,357
7,1,382,450,286,464,496,288,173,665,613,490,482,326,563,261,358,582,469,414,358,522,360,399
7,0,395,347,393,344,282,424,326,395,319,199,476,612,308,289,465,388,363,411,411,252,443,315
7,1,427,450,357,432,343,512,386,419,425,459,415,379,305,498,457,488,463,605,436,257,576,422
7,1,355,450,368,449,373,351,305,485,308,576,563,466,173,389,279,582,384,539,360,664,373,431
7,0,413,328,384,356,486,180,355,202,354,379,325,326,398,192,359,304,469,287,488,283,551,61
7,1,374,450,495,561,464,504,437,531,366,494,319,597,423,397,342,534,466,419,223,598,438,335
7,1,386,450,477,261,450,550,385,329,271,464,539,621,324,464,282,487,366,490,341,563,455,370
6,0,397,350,264,510,355,324,334,341,356,425,442,330,393,144,424,388,316,422,585,587,154,402
6,0,356,350,386,517,342,288,514,342,595,305,179,269,254,481,328,378,355,409,387,440,352,357
6,1,405,453,518,500,368,381,222,556,601,580,296,362,413,376,334,543,495,403,381,427,289,293
6,1,415,480,400,467,595,523,379,378,418,391,264,342,397,258,357,717,578,465,432,399,263,527
6,1,396,452,229,451,240,397,336,321,375,237,680,500,290,517,484,675,436,299,447,333,421,446
6,0,377,350,373,396,354,415,345,433,381,306,423,296,484,394,366,348,219,121,472,403,452,272
6,0,443,350,412,209,352,396,523,401,491,276,314,423,322,436,596,332,501,309,496,459,382,374
6,1,413,474,482,411,570,479,229,510,509,565,530,467,467,363,478,396,384,492,341,493,417,467
7,1,428,450,340,497,473,486,370,357,409,422,446,355,634,463,279,700,561,739,542,445,510,310
7,0,417,310,283,284,298,497,552,188,485,298,389,422,543,264,445,440,463,342,359,296,463,394
6,1,416,485,382,753,458,730,511,371,281,319,252,476,333,542,478,395,392,526,290,294,526,535
7,0,400,350,543,450,424,279,703,385,425,355,264,385,366,359,577,331,163,485,352,316,461,298
6,0,370,350,317,455,249,292,456,413,378,367,286,383,342,428,270,331,313,261,284,451,343,378
7,1,392,450,377,479,246,404,504,458,451,494,374,434,397,440,257,437,404,670,557,408,244,529
6,0,423,350,375,353,433,429,486,228,553,101,500,482,373,210,397,300,322,287,209,228,477,443
7,0,409,339,478,219,506,248,381,296,486,249,237,326,413,283,440,350,359,238,291,299,396,383
7,1,380,450,404,459,324,460,368,311,441,431,372,508,474,532,504,440,339,504,545,476,371,482
6,1,387,472,465,248,467,490,324,330,497,549,438,440,360,483,451,684,548,537,395,747,405,504
6,0,390,350,458,202,401,354,458,448,279,339,344,417,423,289,365,432,412,305,321,398,340,175
7,0,386,321,529,259,558,155,326,339,331,248,408,415,456,297,308,263,312,312,534,638,314,474
7,1,407,450,464,567,554,451,433,354,496,649,425,628,335,441,385,379,323,426,527,444,526,486
6,0,411,350,289,470,432,306,377,162,283,211,255,465,441,272,363,316,353,272,285,426,569,343
6,1,413,472,548,484,420,391,385,455,370,311,493,506,480,526,425,545,460,471,452,540,438,545
7,0,386,323,278,382,431,410,372,194,621,271,467,326,385,289,437,336,360,308,318,389,278,348
7,1,396,450,580,485,421,498,378,306,554,498,445,481,442,383,324,586,444,386,495,490,423,486
7,0,392,341,387,550,394,435,604,271,413,164,447,251,313,407,380,326,318,330,304,419,505,272
7,0,391,339,302,382,503,293,299,283,385,393,450,393,342,536,507,379,408,287,366,427,534,263
6,0,432,350,406,171,371,456,499,325,552,256,357,345,550,304,491,262,353,242,460,389,286,232
6,0,416,350,345,406,422,317,419,401,315,226,332,261,376,257,423,347,467,509,380,405,662,265
7,0,402,350,343,340,426,363,430,373,279,365,391,364,327,402,379,430,484,366,323,475,504,179
7,0,402,349,519,241,465,500,542,390,351,226,387,381,497,358,529,491,382,305,288,375,308,221
7,0,395,347,282,371,515,298,404,252,527,159,464,466,411,352,245,413,373,296,447,405,459,236
7,1,418,450,195,322,470,408,342,497,553,461,579,526,550,421,362,486,467,511,424,610,435,264
6,1,387,475,420,368,558,402,472,596,173,383,379,392,186,562,342,377,176,481,416,512,342,506
6,0,447,350,236,353,553,267,676,271,328,241,289,459,365,312,423,419,327,365,335,409,425,344
6,1,385,479,304,423,335,417,480,418,268,454,386,425,313,368,439,384,400,362,388,465,423,473
6,0,417,350,388,468,512,224,305,299,318,361,363,505,458,403,436,387,411,272,449,457,261,285
7,1,377,450,359,287,416,658,348,499,334,362,430,200,342,396,337,471,321,405,446,466,306,355
6,1,398,451,369,458,267,472,537,437,263,440,360,450,257,427,407,647,475,522,452,500,401,489
7,1,386,450,311,454,474,389,264,507,313,509,212,434,558,658,415,394,508,401,400,392,505,575
6,1,413,473,377,388,504,370,286,484,486,409,537,535,320,328,323,561,535,459,350,417,292,485
7,1,363,450,493,470,288,639,371,566,181,408,329,573,435,519,318,604,372,560,386,338,490,557
6,0,358,350,548,191,249,483,567,480,338,359,215,297,351,136,236,298,257,564,556,566,422,354
7,0,386,324,264,414,429,212,470,77,551,454,506,396,219,260,329,344,513,314,221,198,530,325
6,0,394,350,358,334,507,428,427,490,336,396,359,196,415,289,309,333,594,260,422,446,257,68
7,0,387,328,217,338,323,217,446,286,299,371,389,394,334,306,527,390,457,490,338,400,290,291
7,0,391,339,415,433,325,268,455,282,515,473,254,156,402,264,586,318,416,363,521,335,470,330
7,1,418,450,317,387,377,581,325,425,462,440,480,332,587,255,406,509,252,419,523,312,298,499
7,0,414,325,485,329,614,313,411,381,129,283,591,353,520,363,322,354,365,281,428,372,470,487
6,1,389,467,356,557,428,464,515,334,404,370,472,196,347,630,235,518,412,498,454,676,427,567
6,0,358,350,427,361,253,412,152,246,509,324,261,256,415,263,271,337,358,522,241,333,461,241
