Configuration,TrueModelUpDown,TrueLocationP,TrueLocationQ,P0,Q0,P1,Q1,P2,Q2,P3,Q3,P4,Q4,P5,Q5,P6,Q6,P7,Q7,P8,Q8,P9,Q9
6,1,384,487,349,628,296,545,340,636,363,433,605,433,256,384,189,483,327,510,418,435,326,414
7,1,439,450,394,498,425,457,417,434,346,311,435,560,384,523,484,536,492,439,388,203,360,468
7,0,403,349,277,402,449,297,357,263,412,438,237,540,479,436,326,345,416,291,380,382,563,227
7,1,370,450,346,473,474,578,422,545,394,397,328,515,253,503,148,546,332,367,435,473,417,353
7,1,421,450,425,373,550,554,449,439,472,343,470,469,360,314,554,553,359,423,560,518,271,540
7,1,441,450,368,391,137,290,337,374,525,367,505,642,369,419,443,458,373,634,383,497,577,504
7,0,385,320,506,359,423,295,413,307,411,393,399,424,362,358,529,317,482,187,243,181,515,458
7,0,412,330,492,350,399,284,315,189,325,331,389,490,514,370,368,268,397,281,321,447,297,142
7,0,402,349,476,454,433,298,569,230,317,482,450,432,497,314,486,277,315,279,413,373,372,461
6,0,418,350,323,193,468,392,426,220,398,387,399,390,433,382,469,557,449,398,468,383,583,440
6,1,400,450,354,225,567,551,580,467,435,547,562,458,514,484,346,367,449,332,330,411,499,342
7,0,387,327,392,374,407,459,178,251,564,120,487,278,402,450,407,320,240,295,291,340,316,336
7,1,414,450,587,563,382,455,333,528,422,561,423,174,374,399,371,402,406,522,438,418,728,468
6,0,363,350,43,225,319,340,489,203,189,404,338,350,470,249,409,427,324,354,410,249,318,275
7,0,412,329,424,271,256,283,396,431,401,304,387,326,392,296,318,226,283,415,155,273,419,202
6,1,393,456,383,406,284,347,422,522,222,470,320,220,340,336,545,406,238,537,340,393,407,582
6,1,401,450,368,440,523,441,478,582,334,326,343,465,468,398,476,521,492,476,516,320,443,570
6,1,415,483,372,508,525,274,527,323,299,536,446,363,461,444,509,632,432,424,323,466,475,606
7,0,404,347,465,323,433,314,348,415,545,380,407,392,457,406,265,265,371,309,463,367,313,429
7,1,359,450,293,379,471,609,427,447,395,704,462,511,498,610,307,500,337,462,565,484,455,358
6,0,445,350,365,412,416,304,320,209,521,300,396,323,369,332,536,496,353,254,326,239,527,361
6,0,431,350,563,412,620,248,436,405,548,357,511,350,550,206,200,402,541,367,416,231,387,152
7,1,362,450,343,572,52,690,344,496,198,463,238,370,536,410,310,255,437,490,267,192,382,498
6,0,432,350,368,284,291,219,389,331,351,67,371,318,463,268,327,265,535,179,536,494,466,451
6,1,386,476,384,350,206,733,393,431,342,445,340,456,375,582,357,664,405,416,283,607,340,294
6,1,405,454,506,325,389,476,345,426,433,528,403,377,437,366,387,562,460,583,389,415,273,446
6,1,403,451,349,415,335,536,579,264,407,469,360,543,456,286,295,413,163,459,316,558,259,432
7,0,400,350,437,299,364,341,336,431,595,118,418,408,553,283,585,438,383,426,316,320,386,367
7,0,403,349,472,302,310,397,466,388,387,277,541,393,285,512,533,278,356,268,378,443,361,527
7,1,413,450,457,500,665,357,367,502,491,588,414,373,171,257,441,426,148,400,359,471,491,418
7,0,398,349,531,324,432,342,415,308,482,397,344,527,392,354,367,285,353,351,393,339,565,275
7,1,352,450,446,575,487,534,237,426,268,356,147,666,329,335,208,464,464,401,273,494,83,568
